Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
23/03/25	self-cash	Shopping		Drycleaning	2000	Expense		2000	INR	2000
23/03/25	self-card	Food		Burger-king	173	Expense		173	INR	173
25/03/25	self-cash	Food		Swiggy-rameshwaram	346	Expense		346	INR	346
26/03/25	self-cash	Food		Swiggy-dakshin	300	Expense		300	INR	300
26/03/25	self-card	Travel		Auto	120	Expense		120	INR	120
27/03/25	self-card	Grocery		Instamart	920	Expense		920	INR	920
27/03/25	self-card	Utility		Airtel-broadband-no-reimbursement	1297	Expense		1297	INR	1297
28/03/25	self-card	Food		Fufu-pancake	563	Expense		563	INR	563
30/03/25	self-card	Travel		Auto	62	Expense		62	INR	62
30/03/25	self-cash	Food		Glen	1007	Expense		1007	INR	1007
30/03/25	self-cash	Shopping		Racket	180	Expense		180	INR	180
30/03/25	self-cash	Shopping		Stationary	320	Expense		320	INR	320
30/03/25	self-cash	Grocery		Fruits	360	Expense		360	INR	360
30/03/25	self-card	Grocery		Zepto	544	Expense		544	INR	544
30/03/25	not-self-card	Grocery		Zepto	1300	Expense		1300	INR	1300
30/03/25	not-self-card	Grocery		Blinkit	107	Expense		107	INR	107
30/03/25	not-self-card	Grocery		Zepto	304	Expense		304	INR	304
31/03/25	self-cash	Food		Kishen-bowling-food	2000	Expense		2000	INR	2000
31/03/25	self-card	Health		One-mg	301	Expense		301	INR	301
