Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
22/02/25	self-cash	Travel		Auto	347	Expense		347	INR	347
22/02/25	self-cash	Food		Ikea-food	670	Expense		670	INR	670
23/02/25	self-card	Food		Breakfast-cricket	230	Expense		230	INR	230
23/02/25	self-cash	Food		Smoor	1200	Expense		1200	INR	1200
23/02/25	self-card	Travel		Auto	65	Expense		65	INR	65
24/02/25	self-cash	Food		Thatte-idly	145	Expense		145	INR	145
25/02/25	self-cash	Grocery		Veggies-and-shoprite	250	Expense		250	INR	250
25/02/25	not-self-cash	Grocery		Veggies-and-shoprite	100	Expense		100	INR	100
26/02/25	self-card	Food		Breakfast	204	Expense		204	INR	204
27/02/25	self-cash	Grocery		Veggies	40	Expense		40	INR	40
27/02/25	not-self-cash	Grocery		Veggies	500	Expense		500	INR	500
27/02/25	not-self-cash	Health		Sagar	650	Expense		650	INR	650
27/02/25	not-self-card	Grocery		Amazon	1140	Expense		1140	INR	1140
27/02/25	self-cash	Food		Blr-Kumarans	750	Expense		750	INR	750
27/02/25	self-cash	Travel		Auto	190	Expense		190	INR	190
27/02/25	self-cash	Lifestyle		Parlour	3500	Expense		3500	INR	3500
