Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
21/10/24	self-cash	Grocery		zepto	520	Expense		520	INR	520
21/10/24	self-cash	Grocery		instant-mix	370	Expense		370	INR	370
21/10/24	self-cash	Health		Doctor	600	Expense		600	INR	600
24/10/24	self-cash	Shopping		shorts	1540	Expense		1540	INR	1540
24/10/24	self-cash	Grocery		Zepto	602	Expense		602	INR	602
24/10/24	self-card	Travel		Auto	165	Expense		165	INR	165
24/10/24	self-cash	Health		Doctor-dressing	285	Expense		285	INR	285
26/10/24	self-card	Travel		Auto	131	Expense		131	INR	131
26/10/24	self-card	Grocery		Megha	270	Expense		270	INR	270
26/10/24	self-cash	Travel		Driver	500	Expense		500	INR	500
26/10/24	self-cash	Food		Meghana	1210	Expense		1210	INR	1210
26/10/24	self-cash	Grocery		Zepto	500	Expense		500	INR	500
26/10/24	not-self-cash	Grocery		Zepto	500	Expense		500	INR	500
27/10/24	self-card	Food		Food	376	Expense		376	INR	376
27/10/24	self-card	Travel		Auto	163	Expense		163	INR	163
27/10/24	self-cash	Travel		Auto	70	Expense		70	INR	70
28/10/24	self-cash	Food		Swiggy	530	Expense		530	INR	530
29/10/24	self-cash	Food		Swiggy	550	Expense		550	INR	550
29/10/24	self-cash	Travel		Auto	130	Expense		130	INR	130
29/10/24	self-card	Travel		Auto	150	Expense		150	INR	150
29/10/24	self-card	Travel		Auto	100	Expense		100	INR	100
29/10/24	self-cash	Health		Doctor	290	Expense		290	INR	290
31/10/24	self-cash	Grocery		Blinkit	1225	Expense		1225	INR	1225
31/10/24	not-self-cash	Grocery		Blinkit	275	Expense		275	INR	275
31/10/24	self-cash	Shopping		Crackers	3450	Expense		3450	INR	3450
31/10/24	self-cash	Lifestyle		Bda	1349	Expense		1349	INR	1349
31/10/24	self-card	Food		Cane-juice	45	Expense		45	INR	45
